"created_at";"modified_at";"id";"city";"city_desc";"state";"state_desc";"state_kra_code";"ucc_state_code";"idirect_state_code";"bse_code"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1832;"UTTAR RAIPUR";"UTTAR RAIPUR";"WEST BENGAL";"WEST BENGAL";"19";"33";"WEST BENGAL";"WB"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1833;"VADADLA";"VADADLA";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1834;"VADTAL";"VADTAL";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1835;"VALLABHNAGAR";"VALLABHNAGAR";"RAJASTHAN";"RAJASTHAN";"8";"26";"RAJASTHAN";"RA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1836;"VALLAMPADUGAI";"VALLAMPADUGAI";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1837;"VANGOOR";"VANGOOR";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1838;"VARANAM";"VARANAM";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1839;"VASO";"VASO";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1840;"VAYALPAD";"VAYALPAD";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1841;"VEDANTHANGAL";"VEDANTHANGAL";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1842;"VELIYAM";"VELIYAM";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1843;"VELLAMADAM";"VELLAMADAM";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1844;"VENGURLA";"VENGURLA";"MAHARASHTRA";"MAHARASHTRA";"27";"17";"MAHARASHTRA";"MA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1845;"VENMONY";"VENMONY";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1846;"VENNANDUR";"VENNANDUR";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1847;"VETTAVALAM";"VETTAVALAM";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1848;"VIJAYAPURA";"VIJAYAPURA";"KARNATAKA";"KARNATAKA";"29";"14";"KARNATAKA";"KA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1849;"VIKRAMPUR";"VIKRAMPUR";"ODISHA";"ODISHA";"21";"23";"ODISHA";"OR"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1850;"VILLUKURI";"VILLUKURI";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1851;"VIRALIMALAI";"VIRALIMALAI";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1852;"VIRBHADRA";"VIRBHADRA";"UTTARAKHAND";"UTTARAKHAND";"5";"32";"UTTARAKHAND";"UC"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1853;"VISAVADAR";"VISAVADAR";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1854;"VITHON";"VITHON";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1855;"VITTAL";"VITTAL";"KARNATAKA";"KARNATAKA";"29";"14";"KARNATAKA";"KA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1856;"MANKADA";"MANKADA";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1857;"DEHRI-ON SONE";"DEHRI ON SONE";"BIHAR";"BIHAR";"10";"5";"BIHAR";"BH"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1858;"NEEMUCH";"NEEMUCH";"MADHYA PRADESH";"MADHYA PRADESH";"23";"16";"MADHYA PRADESH";"MP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1859;"MERCES";"MERCES";"GOA";"GOA";"30";"8";"GOA";"GO"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1860;"DUBURI";"DUBURI";"ODISHA";"ODISHA";"21";"23";"ODISHA";"OR"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1861;"SIMDEGA";"SIMDEGA";"JHARKHAND";"JHARKHAND";"20";"13";"JHARKHAND";"JK"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1862;"PENNADAM";"PENNADAM";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1863;"AKBARPUR";"AKBARPUR";"UTTAR PRADESH";"UTTAR PRADESH";"9";"31";"UTTAR PRADESH";"UP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1864;"NARAYANA PURAM";"NARAYANA PURAM";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
